Date,Close,Open,High,Low,PE
1960/1/4,59.91,59.91,59.91,59.91,18.34
1960/1/5,60.389999,60.389999,60.389999,60.389999,18.34
1960/1/6,60.130001,60.130001,60.130001,60.130001,18.34
1960/1/7,59.689999,59.689999,59.689999,59.689999,18.34
1960/1/8,59.5,59.5,59.5,59.5,18.34
1960/1/11,58.77,58.77,58.77,58.77,18.34
1960/1/12,58.41,58.41,58.41,58.41,18.34
1960/1/13,58.080002,58.080002,58.080002,58.080002,18.34
1960/1/14,58.400002,58.400002,58.400002,58.400002,18.34
1960/1/15,58.380001,58.380001,58.380001,58.380001,18.34
1960/1/18,57.889999,57.889999,57.889999,57.889999,18.34
1960/1/19,57.27,57.27,57.27,57.27,18.34
1960/1/20,57.07,57.07,57.07,57.07,18.34
1960/1/21,57.209999,57.209999,57.209999,57.209999,18.34
1960/1/22,57.380001,57.380001,57.380001,57.380001,18.34
1960/1/25,56.779999,56.779999,56.779999,56.779999,18.34
1960/1/26,56.860001,56.860001,56.860001,56.860001,18.34
1960/1/27,56.720001,56.720001,56.720001,56.720001,18.34
1960/1/28,56.130001,56.130001,56.130001,56.130001,18.34
1960/1/29,55.610001,55.610001,55.610001,55.610001,18.34
1960/2/1,55.959999,55.959999,55.959999,55.959999,17.55
1960/2/2,56.82,56.82,56.82,56.82,17.55
1960/2/3,56.32,56.32,56.32,56.32,17.55
1960/2/4,56.27,56.27,56.27,56.27,17.55
1960/2/5,55.98,55.98,55.98,55.98,17.55
1960/2/8,55.32,55.32,55.32,55.32,17.55
1960/2/9,55.84,55.84,55.84,55.84,17.55
1960/2/10,55.490002,55.490002,55.490002,55.490002,17.55
1960/2/11,55.18,55.18,55.18,55.18,17.55
1960/2/12,55.459999,55.459999,55.459999,55.459999,17.55
1960/2/15,55.169998,55.169998,55.169998,55.169998,17.55
1960/2/16,54.73,54.73,54.73,54.73,17.55
1960/2/17,55.029999,55.029999,55.029999,55.029999,17.55
1960/2/18,55.799999,55.799999,55.799999,55.799999,17.55
1960/2/19,56.240002,56.240002,56.240002,56.240002,17.55
1960/2/23,55.939999,55.939999,55.939999,55.939999,17.55
1960/2/24,55.740002,55.740002,55.740002,55.740002,17.55
1960/2/25,55.93,55.93,55.93,55.93,17.55
1960/2/26,56.16,56.16,56.16,56.16,17.55
1960/2/29,56.119999,56.119999,56.119999,56.119999,17.55
1960/3/1,56.009998,56.009998,56.009998,56.009998,17.29
1960/3/2,55.619999,55.619999,55.619999,55.619999,17.29
